NO,COHORT,CATEGORY,STATE,SCHOOL
1,1,SR,JOHOR,SK BANDAR UDA 2
2,1,SR,WP KUALA LUMPUR,SK BUKIT DAMANSARA
3,1,SR,PERAK,SK CONVENT KOTA
4,1,SR,WP KUALA LUMPUR,SK SERI BINTANG UTARA
5,1,SR,WP KUALA LUMPUR,SK TAMAN TUN DR ISMAIL 1
6,1,SR,KELANTAN,SK ZAINAB 2
7,1,SM,SELANGOR,KOLEJ ISLAM SULTAN ALAM SHAH
8,1,SM,NEGERI SEMBILAN,KOLEJ TUNKU KURSHIAH
9,1,SM,NEGERI SEMBILAN,SEKOLAH DATO' ABDUL RAZAK
10,1,SM,SELANGOR,SEKOLAH SERI PUTERI
11,1,SM,WP PUTRAJAYA,SEKOLAH SULTAN ALAM SHAH
12,1,SM,JOHOR,SEKOLAH TUN FATIMAH
13,1,SM,KEDAH,SM SULTAN ABDUL HALIM
14,1,SM,SELANGOR,SMK (P) SRI AMAN
15,1,SM,PULAU PINANG,SMK (P) ST GEORGE
16,1,SM,WP KUALA LUMPUR,SMK AMINUDDIN BAKI
17,1,SM,KEDAH,SMK SULTANAH ASMA
18,1,SM,MELAKA,SMS MUZAFFAR SYAH
19,1,SM,PERLIS,SMS TUANKU SYED PUTRA
20,1,SM,PERAK,THE MALAY COLLEGE KUALA KANGSAR
21,2,SR,SELANGOR,SJKC LICK HUNG
22,2,SR,PULAU PINANG,SJKC PEREMPUAN CHINA
23,2,SR,SARAWAK,SJKC TUNG HUA
24,2,SR,PAHANG,SK (P) METHODIST KUANTAN
25,2,SR,JOHOR,SK CONVENT MUAR
26,2,SR,SELANGOR,SK JALAN 3
27,2,SR,SELANGOR,SK SEKSYEN 9
28,2,SR,PAHANG,SK SERI BIRAM
29,2,SR,WP KUALA LUMPUR,SK SETIAWANGSA
30,2,SR,KEDAH,SK SULTAN AHMAD TAJUDDIN
31,2,SR,TERENGGANU,SK SULTAN ISMAIL
32,2,SR,SARAWAK,SK ULU LUBAI
33,2,SM,SELANGOR,SBPI GOMBAK
34,2,SM,KEDAH,SBPI KUBANG PASU
35,2,SM,PAHANG,SBPI TUN ABDUL RAZAK
36,2,SM,PERAK,SEKOLAH TUANKU ABDUL RAHMAN
37,2,SM,TERENGGANU,SM IMTIAZ BESUT
38,2,SM,NEGERI SEMBILAN,SMAP LABU
39,2,SM,SELANGOR,SMK JALAN EMPAT
40,2,SM,TERENGGANU,SMK LEMBAH BIDONG
41,2,SM,KELANTAN,SMKA NAIM LILBANAT
42,2,SM,WP KUALA LUMPUR,SMS ALAM SHAH
43,2,SM,SELANGOR,SMS KUALA SELANGOR
44,2,SM,SARAWAK,SMS KUCHING
45,2,SM,SARAWAK,SMS MIRI
46,2,SM,JOHOR,SMS MUAR
47,2,SM,SABAH,SMS SABAH
48,2,SM,WP KUALA LUMPUR,SMS SELANGIR
49,2,SM,WP KUALA LUMPUR,SMS SERI PUTERI
50,2,SM,PAHANG,SMS TENGKU ABDULLAH
51,2,SM,KELANTAN,SMS TENGKU MUHAMMAD FARIS PETRA
52,2,SM,NEGERI SEMBILAN,SMS TUANKU MUNAWIR
53,3,SR,JOHOR,SJKC FOON YEW 2
54,3,SR,KEDAH,SJKC KEAT HWA H
55,3,SR,PULAU PINANG,SJKC KWANG HWA
56,3,SR,JOHOR,SK (P) SULTAN IBRAHIM
57,3,SR,PAHANG,SK ASSUNTA CONVENT
58,3,SR,KEDAH,SK IBRAHIM
59,3,SR,JOHOR,SK INFANT JESUS CONVENT
60,3,SR,PULAU PINANG,SK MINDEN HEIGHT
61,3,SR,TERENGGANU,SK SULTAN SULAIMAN 1
62,3,SR,TERENGGANU,SK TENGKU MAHMUD
63,3,SM,JOHOR,SMS JOHOR
64,3,SM,JOHOR,SMS KOTA TINGGI
65,3,SM,KEDAH,SMS SULTAN MOHAMAD JIWA
66,3,SM,NEGERI SEMBILAN,SMS TUANKU JAAFAR
67,3,SR,PERAK,SJKC AVE MARIA CONVENT
68,3,SR,PULAU PINANG,SJKC UNION
69,3,SR,MELAKA,SJKC YOK BIN
70,3,SR,JOHOR,SK BANDAR MAHARANI
71,3,SR,JOHOR,SK BANDAR PENAWAR 2
72,3,SR,PULAU PINANG,SK BERTAM INDAH
73,3,SR,MELAKA,SK CONVENT INFANT JESUS (2)
74,3,SR,PERLIS,SRK SERI INDERA
75,3,SR,SABAH,SK SRI GAYA
76,3,SR,KEDAH,SK SULTANAH ASMA
77,3,SR,TERENGGANU,SK TENGKU AMPUAN INTAN
78,3,SR,KELANTAN,SK ZAINAB 1
79,3,SR,MELAKA,SK (P) METHODIST 2
80,3,SM,TERENGGANU,"Kolej Sains Pendidikan Islam Terengganu
SM Imtiaz Kuala Terengganu"
81,3,SM,TERENGGANU,SBPI BATU RAKIT
82,3,SM,PAHANG,SBPI KUANTAN
83,3,SM,MELAKA,SBPI SELANDAR
84,3,SM,PAHANG,SEKOLAH SAINS SULTAN HAJI AHMAD SHAH
85,3,SM,JOHOR,SMK INFANT JESUS CONVENT
86,3,SM,JOHOR,SMK SULTAN ISMAIL
87,3,SM,SELANGOR,SMS HULU SELANGOR
88,3,SM,PULAU PINANG,SMS KEPALA BATAS
89,3,SM,WP LABUAN,SMS LABUAN
90,3,SM,KEDAH,SMS POKOK SENA
91,3,SM,TERENGGANU,SMS SULTAN MAHMUD
92,4,SR,PULAU PINANG,SJK(C) HAN CHIANG
93,4,SR,SELANGOR,SK TAMAN MEGAH
94,4,SR,PERAK,SK MARIAN CONVENT
95,4,SR,WP PUTRAJAYA,SK PUTRAJAYA PRESINT 11 (1)
96,4,SR,JOHOR,SK TENGKU MARIAM
97,4,SR,JOHOR,SJKT LADANG REM
98,4,SR,SELANGOR,SK BUKIT JELUTONG
99,4,SR,MELAKA,SK CONVENT OF THE INFANT JESUS 1 (M)
100,4,SR,WP KUALA LUMPUR,SK CONVENT BUKIT NANAS (1)
101,4,SR,PULAU PINANG,SK CONVENT GREEN LANE
102,4,SR,WP KUALA LUMPUR,SJK(C) KUEN CHENG 2
103,4,SR,PERAK,SK SULTAN IDRIS II
104,4,SR,SELANGOR,SK SRI PETALING
105,4,SR,PAHANG,SK CONVENT
106,4,SM,PULAU PINANG,SMKA AL-IRSHAD
107,4,SM,MELAKA,SMKA SHARIFAH RODZIAH
108,4,SM,SELANGOR,SM AGAMA PERSEKUTUAN KAJANG
109,4,SM,PERAK,SBP INTEGRASI GOPENG
110,4,SM,PERAK,SM SAINS RAJA TUN AZLAN SHAH
111,4,SM,NEGERI SEMBILAN,SBP INTEGRASI JEMPOL
112,4,SM,KELANTAN,SM SAINS MACHANG
113,4,SM,KEDAH,SM SAINS KUBANG PASU
114,4,SM,JOHOR,SMK DATO’ PENGGAWA BARAT
115,4,SM,SELANGOR,SBP INTEGRASI RAWANG
116,5,SR,PAHANG,SJK(T) RINGLET
117,5,SR,WP PUTRAJAYA,SK PUTRAJAYA PRESINT 9 (2)
118,5,SR,PAHANG,SK ST. THOMAS
119,5,SR,SABAH,SK LINGGA BARU
120,5,SR,KEDAH,SK AIR MERAH
121,5,SR,KELANTAN,SK SERI WAKAF BAHARU
122,5,SR,SELANGOR,SK SAUJANA IMPIAN
123,5,SR,KELANTAN,SK KUBANG KERIAN 3
124,5,SR,TERENGGANU,SK KAMPONG RAJA
125,5,SM,PAHANG,SMK ABDUL RAHMAN TALIB
126,5,SM,PULAU PINANG,SMK BUKIT JAMBUL
127,5,SM,PULAU PINANG,SM SAINS TUN SYED SHEH SHAHABUDIN
128,5,SM,NEGERI SEMBILAN,SM SAINS REMBAU
130,6,SK,KEDAH,SK FATHER BARRE’S CONVENT (M)
131,6,SK,SELANGOR,SK RAJA MUDA (INTEGRASI)
132,6,SK,NEGERI SEMBILAN,SK KING GEORGE V
133,6,SK,WP PUTRAJAYA,SK PUTRAJAYA PRESINT 18(1)
134,6,SM,SABAH,SMS LAHAD DATU
135,6,SM,PERAK,SMS TAPAH